New providers run
 [x] provider_three Sent 65
 [x] provider_four Sent 73
 [x] provider_two Sent 48
 [x] provider_one Sent 24
 [x] provider_four Sent 54
 [x] provider_three Sent 32
 [x] provider_four Sent 81
 [x] provider_three Sent 12
 [x] provider_one Sent 57
 [x] provider_two Sent 22
 [x] provider_two Sent 74
 [x] provider_one Sent 35
 [x] provider_four Sent 23
 [x] provider_one Sent 80
 [x] provider_two Sent 24
 [x] provider_three Sent 49
 [x] provider_three Sent 93
 [x] provider_four Sent 91
 [x] provider_one Sent 32
 [x] provider_two Sent 43
 [x] provider_four Sent 97
 [x] provider_three Sent 10
 [x] provider_four Sent 77
 [x] provider_three Sent 17
 [x] provider_one Sent 68
 [x] provider_two Sent 66
 [x] provider_two Sent 11
 [x] provider_one Sent 39
 [x] provider_four Sent 60
 [x] provider_one Sent 24
 [x] provider_two Sent 57
 [x] provider_three Sent 44
 [x] provider_four Sent 66
 [x] provider_three Sent 52
 [x] provider_one Sent 45
 [x] provider_two Sent 39
 [x] provider_four Sent 85
 [x] provider_three Sent 74
 [x] provider_four Sent 25
 [x] provider_three Sent 74
 [x] provider_one Sent 92
 [x] provider_two Sent 94
 [x] provider_two Sent 15
 [x] provider_one Sent 44
 [x] provider_four Sent 24
 [x] provider_one Sent 80
 [x] provider_two Sent 45
 [x] provider_three Sent 57
 [x] provider_one Sent 92
 [x] provider_three Sent 77
 [x] provider_four Sent 85
 [x] provider_two Sent 14
 [x] provider_three Sent 57
 [x] provider_three Sent 36
 [x] provider_four Sent 29
 [x] provider_one Sent 16
 [x] provider_two Sent 58
 [x] provider_two Sent 76
 [x] provider_four Sent 57
 [x] provider_one Sent 100
 [x] provider_four Sent 54
 [x] provider_one Sent 80
 [x] provider_two Sent 56
 [x] provider_three Sent 79
 [x] provider_three Sent 83
 [x] provider_one Sent 33
 [x] provider_two Sent 42
 [x] provider_four Sent 32
 [x] provider_one Sent 10
 [x] provider_two Sent 97
 [x] provider_four Sent 81
